frequent-itemsets,	support
['long life bakery product', 'other vegetables', 'whole milk'],	0.0056939501779359435
['yogurt', 'butter', 'whole milk'],	0.009354346720894764
['other vegetables', 'bottled water', 'tropical fruit'],	0.0062023385866802234
['yogurt', 'bottled water', 'whole milk'],	0.009659379766141332
['citrus fruit', 'butter', 'whole milk'],	0.005083884087442806
['bottled water', 'whole milk', 'tropical fruit'],	0.008032536858159633
['citrus fruit', 'bottled water', 'whole milk'],	0.005897305541433655
['yogurt', 'citrus fruit', 'whole milk'],	0.010269445856634469
['curd', 'whole milk', 'tropical fruit'],	0.006507371631926792
['yogurt', 'curd', 'tropical fruit'],	0.0052872394509405184
['yogurt', 'bottled water', 'tropical fruit'],	0.0071174377224199285
['citrus fruit', 'whole milk', 'tropical fruit'],	0.009049313675648195
['bottled water', 'butter', 'whole milk'],	0.005388917132689374
['butter', 'whole milk', 'tropical fruit'],	0.0062023385866802234
['yogurt', 'curd', 'whole milk'],	0.010066090493136757
['yogurt', 'citrus fruit', 'tropical fruit'],	0.00630401626842908
['yogurt', 'whole milk', 'tropical fruit'],	0.015149974580579562
['other vegetables', 'rolls/buns', 'root vegetables'],	0.012201321809862735
['rolls/buns', 'root vegetables', 'tropical fruit'],	0.005897305541433655
['other vegetables', 'rolls/buns', 'tropical fruit'],	0.007829181494661922
['other vegetables', 'root vegetables', 'tropical fruit'],	0.012302999491611592
['soda', 'rolls/buns', 'sausage'],	0.009659379766141332
['other vegetables', 'rolls/buns', 'bottled water'],	0.007320793085917641
['other vegetables', 'whole milk', 'root vegetables'],	0.023182511438739197
['sugar', 'other vegetables', 'whole milk'],	0.00630401626842908
['other vegetables', 'soda', 'whole milk'],	0.013929842399593289
['other vegetables', 'whipped/sour cream', 'whole milk'],	0.014641586171835282
['other vegetables', 'pork', 'whole milk'],	0.010167768174885612
['soda', 'whipped/sour cream', 'whole milk'],	0.005490594814438231
['shopping bags', 'rolls/buns', 'sausage'],	0.005998983223182512
['shopping bags', 'rolls/buns', 'soda'],	0.00630401626842908
['shopping bags', 'soda', 'sausage'],	0.0056939501779359435
['domestic eggs', 'whole milk', 'root vegetables'],	0.008540925266903915
['whole milk', 'root vegetables', 'tropical fruit'],	0.011997966446365024
['yogurt', 'root vegetables', 'tropical fruit'],	0.00813421453990849
['yogurt', 'whole milk', 'root vegetables'],	0.014539908490086425
['yogurt', 'domestic eggs', 'whole milk'],	0.007727503812913066
['yogurt', 'soda', 'tropical fruit'],	0.0066090493136756485
['soda', 'whole milk', 'tropical fruit'],	0.007829181494661922
['soda', 'whole milk', 'root vegetables'],	0.00813421453990849
['yogurt', 'coffee', 'whole milk'],	0.005083884087442806
['brown bread', 'whole milk', 'tropical fruit'],	0.0056939501779359435
['brown bread', 'whole milk', 'root vegetables'],	0.0056939501779359435
['soda', 'pastry', 'whole milk'],	0.008235892221657347
['yogurt', 'soda', 'whole milk'],	0.01047280122013218
['pastry', 'whole milk', 'root vegetables'],	0.0056939501779359435
['domestic eggs', 'whole milk', 'tropical fruit'],	0.006914082358922217
['yogurt', 'brown bread', 'whole milk'],	0.0071174377224199285
['soda', 'domestic eggs', 'whole milk'],	0.005185561769191663
['pastry', 'whole milk', 'tropical fruit'],	0.006710726995424504
['yogurt', 'pastry', 'whole milk'],	0.009150991357397052
['brown bread', 'soda', 'whole milk'],	0.005083884087442806
['yogurt', 'rolls/buns', 'bottled water'],	0.0071174377224199285
['newspapers', 'yogurt', 'rolls/buns'],	0.005083884087442806
['yogurt', 'soda', 'bottled water'],	0.007422470767666497
['yogurt', 'soda', 'rolls/buns'],	0.00864260294865277
['soda', 'bottled water', 'rolls/buns'],	0.00681240467717336
['other vegetables', 'bottled water', 'root vegetables'],	0.007015760040671073
['other vegetables', 'whipped/sour cream', 'root vegetables'],	0.008540925266903915
['other vegetables', 'rolls/buns', 'butter'],	0.0056939501779359435
['other vegetables', 'whipped/sour cream', 'butter'],	0.005795627859684799
['curd', 'other vegetables', 'root vegetables'],	0.005490594814438231
['other vegetables', 'butter', 'root vegetables'],	0.0066090493136756485
['other vegetables', 'rolls/buns', 'whipped/sour cream'],	0.006710726995424504
['curd', 'other vegetables', 'tropical fruit'],	0.0052872394509405184
['other vegetables', 'fruit/vegetable juice', 'tropical fruit'],	0.0066090493136756485
['frozen vegetables', 'other vegetables', 'whole milk'],	0.009659379766141332
['soda', 'pastry', 'rolls/buns'],	0.005388917132689374
